<<<<<<< HEAD
product_sku,demand_period,demand_qty
BM-001,2024-01-01,901
BM-001,2024-02-01,949
BM-001,2024-03-01,1035
BM-001,2024-04-01,1022
BM-001,2024-05-01,1026
BM-001,2024-06-01,1060
BM-001,2024-07-01,961
BM-001,2024-08-01,948
BM-001,2024-09-01,939
BM-001,2024-10-01,858
BM-001,2024-11-01,929
BM-001,2024-12-01,934
BM-001,2025-01-01,974
BM-001,2025-02-01,1053
BM-001,2025-03-01,1162
BM-001,2025-04-01,1206
BM-001,2025-05-01,1179
BM-001,2025-06-01,1190
BM-001,2025-07-01,1136
BM-001,2025-08-01,1149
BM-001,2025-09-01,1089
BM-001,2025-10-01,1013
BM-001,2025-11-01,1076
BM-001,2025-12-01,1046
BM-002,2024-01-01,389
BM-002,2024-02-01,425
BM-002,2024-03-01,434
BM-002,2024-04-01,437
BM-002,2024-05-01,407
BM-002,2024-06-01,441
BM-002,2024-07-01,439
BM-002,2024-08-01,422
BM-002,2024-09-01,392
BM-002,2024-10-01,393
BM-002,2024-11-01,371
BM-002,2024-12-01,395
BM-002,2025-01-01,360
BM-002,2025-02-01,365
BM-002,2025-03-01,371
BM-002,2025-04-01,355
BM-002,2025-05-01,385
BM-002,2025-06-01,365
BM-002,2025-07-01,403
BM-002,2025-08-01,396
BM-002,2025-09-01,421
BM-002,2025-10-01,438
BM-002,2025-11-01,412
BM-002,2025-12-01,410
KP-001,2024-01-01,2758
KP-001,2024-02-01,2859
KP-001,2024-03-01,2966
KP-001,2024-04-01,2919
KP-001,2024-05-01,3005
KP-001,2024-06-01,2941
KP-001,2024-07-01,3035
KP-001,2024-08-01,2868
KP-001,2024-09-01,2942
KP-001,2024-10-01,2761
KP-001,2024-11-01,2867
KP-001,2024-12-01,2747
KP-001,2025-01-01,2838
KP-001,2025-02-01,2932
KP-001,2025-03-01,2970
KP-001,2025-04-01,3038
KP-001,2025-05-01,3113
KP-001,2025-06-01,3253
KP-001,2025-07-01,3368
KP-001,2025-08-01,3395
KP-001,2025-09-01,3400
KP-001,2025-10-01,3382
KP-001,2025-11-01,3340
KP-001,2025-12-01,3276
KP-003,2024-01-01,197
KP-003,2024-02-01,206
KP-003,2024-03-01,195
KP-003,2024-04-01,192
KP-003,2024-05-01,207
KP-003,2024-06-01,193
KP-003,2024-07-01,193
KP-003,2024-08-01,185
KP-003,2024-09-01,192
KP-003,2024-10-01,170
KP-003,2024-11-01,184
KP-003,2024-12-01,178
KP-003,2025-01-01,180
KP-003,2025-02-01,197
KP-003,2025-03-01,187
KP-003,2025-04-01,192
KP-003,2025-05-01,206
KP-003,2025-06-01,200
KP-003,2025-07-01,186
KP-003,2025-08-01,198
KP-003,2025-09-01,177
KP-003,2025-10-01,166
KP-003,2025-11-01,189
KP-003,2025-12-01,177
SP-001,2024-01-01,8
SP-001,2024-02-01,0
SP-001,2024-03-01,0
SP-001,2024-04-01,0
SP-001,2024-05-01,0
SP-001,2024-06-01,6
SP-001,2024-07-01,0
SP-001,2024-08-01,0
SP-001,2024-09-01,12
SP-001,2024-10-01,0
SP-001,2024-11-01,6
SP-001,2024-12-01,0
SP-001,2025-01-01,6
SP-001,2025-02-01,0
SP-001,2025-03-01,0
SP-001,2025-04-01,0
SP-001,2025-05-01,0
SP-001,2025-06-01,0
SP-001,2025-07-01,12
SP-001,2025-08-01,0
SP-001,2025-09-01,0
SP-001,2025-10-01,0
SP-001,2025-11-01,12
SP-001,2025-12-01,12
FG-002,2024-01-01,549
FG-002,2024-02-01,669
FG-002,2024-03-01,718
FG-002,2024-04-01,726
FG-002,2024-05-01,723
FG-002,2024-06-01,662
FG-002,2024-07-01,537
FG-002,2024-08-01,506
FG-002,2024-09-01,419
FG-002,2024-10-01,355
FG-002,2024-11-01,415
FG-002,2024-12-01,397
FG-002,2025-01-01,523
FG-002,2025-02-01,556
FG-002,2025-03-01,655
FG-002,2025-04-01,715
FG-002,2025-05-01,704
FG-002,2025-06-01,685
FG-002,2025-07-01,634
FG-002,2025-08-01,546
FG-002,2025-09-01,475
FG-002,2025-10-01,362
FG-002,2025-11-01,351
FG-002,2025-12-01,409
=======
product_sku,demand_period,demand_qty
BM-001,2024-01-01,901
BM-001,2024-02-01,949
BM-001,2024-03-01,1035
BM-001,2024-04-01,1022
BM-001,2024-05-01,1026
BM-001,2024-06-01,1060
BM-001,2024-07-01,961
BM-001,2024-08-01,948
BM-001,2024-09-01,939
BM-001,2024-10-01,858
BM-001,2024-11-01,929
BM-001,2024-12-01,934
BM-001,2025-01-01,974
BM-001,2025-02-01,1053
BM-001,2025-03-01,1162
BM-001,2025-04-01,1206
BM-001,2025-05-01,1179
BM-001,2025-06-01,1190
BM-001,2025-07-01,1136
BM-001,2025-08-01,1149
BM-001,2025-09-01,1089
BM-001,2025-10-01,1013
BM-001,2025-11-01,1076
BM-001,2025-12-01,1046
BM-002,2024-01-01,389
BM-002,2024-02-01,425
BM-002,2024-03-01,434
BM-002,2024-04-01,437
BM-002,2024-05-01,407
BM-002,2024-06-01,441
BM-002,2024-07-01,439
BM-002,2024-08-01,422
BM-002,2024-09-01,392
BM-002,2024-10-01,393
BM-002,2024-11-01,371
BM-002,2024-12-01,395
BM-002,2025-01-01,360
BM-002,2025-02-01,365
BM-002,2025-03-01,371
BM-002,2025-04-01,355
BM-002,2025-05-01,385
BM-002,2025-06-01,365
BM-002,2025-07-01,403
BM-002,2025-08-01,396
BM-002,2025-09-01,421
BM-002,2025-10-01,438
BM-002,2025-11-01,412
BM-002,2025-12-01,410
KP-001,2024-01-01,2758
KP-001,2024-02-01,2859
KP-001,2024-03-01,2966
KP-001,2024-04-01,2919
KP-001,2024-05-01,3005
KP-001,2024-06-01,2941
KP-001,2024-07-01,3035
KP-001,2024-08-01,2868
KP-001,2024-09-01,2942
KP-001,2024-10-01,2761
KP-001,2024-11-01,2867
KP-001,2024-12-01,2747
KP-001,2025-01-01,2838
KP-001,2025-02-01,2932
KP-001,2025-03-01,2970
KP-001,2025-04-01,3038
KP-001,2025-05-01,3113
KP-001,2025-06-01,3253
KP-001,2025-07-01,3368
KP-001,2025-08-01,3395
KP-001,2025-09-01,3400
KP-001,2025-10-01,3382
KP-001,2025-11-01,3340
KP-001,2025-12-01,3276
KP-003,2024-01-01,197
KP-003,2024-02-01,206
KP-003,2024-03-01,195
KP-003,2024-04-01,192
KP-003,2024-05-01,207
KP-003,2024-06-01,193
KP-003,2024-07-01,193
KP-003,2024-08-01,185
KP-003,2024-09-01,192
KP-003,2024-10-01,170
KP-003,2024-11-01,184
KP-003,2024-12-01,178
KP-003,2025-01-01,180
KP-003,2025-02-01,197
KP-003,2025-03-01,187
KP-003,2025-04-01,192
KP-003,2025-05-01,206
KP-003,2025-06-01,200
KP-003,2025-07-01,186
KP-003,2025-08-01,198
KP-003,2025-09-01,177
KP-003,2025-10-01,166
KP-003,2025-11-01,189
KP-003,2025-12-01,177
SP-001,2024-01-01,8
SP-001,2024-02-01,0
SP-001,2024-03-01,0
SP-001,2024-04-01,0
SP-001,2024-05-01,0
SP-001,2024-06-01,6
SP-001,2024-07-01,0
SP-001,2024-08-01,0
SP-001,2024-09-01,12
SP-001,2024-10-01,0
SP-001,2024-11-01,6
SP-001,2024-12-01,0
SP-001,2025-01-01,6
SP-001,2025-02-01,0
SP-001,2025-03-01,0
SP-001,2025-04-01,0
SP-001,2025-05-01,0
SP-001,2025-06-01,0
SP-001,2025-07-01,12
SP-001,2025-08-01,0
SP-001,2025-09-01,0
SP-001,2025-10-01,0
SP-001,2025-11-01,12
SP-001,2025-12-01,12
FG-002,2024-01-01,549
FG-002,2024-02-01,669
FG-002,2024-03-01,718
FG-002,2024-04-01,726
FG-002,2024-05-01,723
FG-002,2024-06-01,662
FG-002,2024-07-01,537
FG-002,2024-08-01,506
FG-002,2024-09-01,419
FG-002,2024-10-01,355
FG-002,2024-11-01,415
FG-002,2024-12-01,397
FG-002,2025-01-01,523
FG-002,2025-02-01,556
FG-002,2025-03-01,655
FG-002,2025-04-01,715
FG-002,2025-05-01,704
FG-002,2025-06-01,685
FG-002,2025-07-01,634
FG-002,2025-08-01,546
FG-002,2025-09-01,475
FG-002,2025-10-01,362
FG-002,2025-11-01,351
FG-002,2025-12-01,409
>>>>>>> b9a8ad24d2e85e6ab546af78e0b7f10b26833f82
